player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
PC Valthaty,21,10,25.1,0,205,7,4/29,29.28,8.14,21.5,1,0,3,0
M Vijay,25,3,5,0,36,0,-,-,7.2,-,0,0,6,0
M Vohra,45,-,-,-,-,-,-,-,-,-,-,-,13,0
Yuvraj Singh,51,27,54,0,400,14,3/13,28.57,7.4,23.1,0,0,15,0
B Akhil,1,1,2,0,22,0,-,-,11,-,0,0,0,0
Y Gnaneswara Rao,2,1,1,0,7,0,-,-,7,-,0,0,2,0
RV Gomez,11,8,15,1,124,5,2/14,24.8,8.26,18,0,0,1,0
BJ Hodge,14,4,11,0,77,7,4/13,11,7,9.4,1,0,1,0
RA Jadeja,14,14,42,0,305,8,2/25,38.12,7.26,31.5,0,0,1,0
KM Jadhav,6,-,-,-,-,-,-,-,-,-,-,-,2,0
DPMD Jayawardene,13,-,-,-,-,-,-,-,-,-,-,-,6,0
M Klinger,4,-,-,-,-,-,-,-,-,-,-,-,0,0
VVS Laxman,3,-,-,-,-,-,-,-,-,-,-,-,0,0
BB McCullum,13,-,-,-,-,-,-,-,-,-,-,-,2,0
M Muralitharan,5,5,19,0,141,2,1/18,70.5,7.42,57,0,0,1,0
P Parameswaran,5,5,15.4,0,137,4,2/20,34.25,8.74,23.5,0,0,0,0
PA Patel,14,-,-,-,-,-,-,-,-,-,-,-,8,1
NLTC Perera,4,4,14,0,111,2,1/30,55.5,7.92,42,0,0,0,0
RR Powar,5,5,12,0,112,2,1/20,56,9.33,36,0,0,0,0
P Prasanth,1,1,1,0,18,0,-,-,18,-,0,0,0,0
OA Shah,3,-,-,-,-,-,-,-,-,-,-,-,2,0
RP Singh,14,14,50,0,345,13,4/25,26.53,6.9,23,1,0,6,0
S Sreesanth,9,9,31.5,2,206,7,2/10,29.42,6.47,27.2,0,0,1,0
R Vinay Kumar,13,13,44.4,0,335,12,3/25,27.91,7.5,22.3,0,0,4,0
Ankit Sharma,8,7,23,0,168,7,2/20,24,7.3,19.7,0,0,2,0
Anureet Singh,3,3,4,0,42,1,1/20,42,10.5,24,0,0,1,0
JC Archer,10,10,38.5,0,325,15,3/22,21.66,8.36,15.5,0,0,1,0
SA Asnodkar,20,-,-,-,-,-,-,-,-,-,-,-,6,0
S Badree,1,1,4,0,34,0,-,-,8.5,-,0,0,0,0
R Bhatia,14,14,43,0,329,12,3/23,27.41,7.65,21.5,0,0,5,0
STR Binny,64,42,68,0,521,16,2/14,32.56,7.66,25.5,0,0,15,0
J Botha,24,24,89,0,610,19,3/6,32.1,6.85,28.1,0,0,9,0
JC Buttler,13,-,-,-,-,-,-,-,-,-,-,-,9,1
LA Carseldine,5,1,1,0,6,1,1/6,6,6,6,0,0,4,0
UBT Chand,1,-,-,-,-,-,-,-,-,-,-,-,0,0
A Chandila,12,12,39,0,242,11,4/13,22,6.2,21.2,1,0,7,0
AA Chavan,13,13,41.2,0,326,8,2/23,40.75,7.88,31,0,0,3,0
SD Chitnis,1,-,-,-,-,-,-,-,-,-,-,-,0,0
P Chopra,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KK Cooper,25,25,96,1,757,33,4/26,22.93,7.88,17.4,1,0,12,0
BCJ Cutting,1,1,4,0,31,1,1/31,31,7.75,24,0,0,1,0
P Dogra,9,-,-,-,-,-,-,-,-,-,-,-,2,0
AP Dole,3,3,11,0,112,5,2/36,22.4,10.18,13.2,0,0,2,0
ND Doshi,3,3,5.2,0,62,1,1/15,62,11.62,32,0,0,0,0
R Dravid,46,-,-,-,-,-,-,-,-,-,-,-,10,0
JP Faulkner,42,42,151.1,3,1272,47,5/16,27.06,8.41,19.2,0,2,9,0
FY Fazal,12,2,2,0,20,0,-,-,10,-,0,0,6,0
AJ Finch,1,1,1.1,0,5,0,-,-,4.28,-,0,0,0,0
S Gopal,11,10,31,0,236,11,4/16,21.45,7.61,16.9,1,0,3,0
SP Goswami,11,-,-,-,-,-,-,-,-,-,-,-,4,4
K Gowtham,15,15,40,0,312,11,2/12,28.36,7.8,21.8,0,0,10,0
Harmeet Singh,1,1,4,0,34,1,1/34,34,8.5,24,0,0,0,0
SM Harwood,3,3,10,0,73,3,2/25,24.33,7.3,20,0,0,2,0
T Henderson,2,2,6,0,40,1,1/30,40,6.66,36,0,0,0,0
BJ Hodge,33,3,3,0,24,1,1/13,24,8,18,0,0,15,0
GB Hogg,10,10,39.2,0,284,10,2/31,28.4,7.22,23.6,0,0,1,0
DJ Hooda,14,7,15.1,0,129,1,1/35,129,8.5,91,0,0,1,0
Iqbal Abdulla,1,1,2,0,17,0,-,-,8.5,-,0,0,1,0
RA Jadeja,27,12,25.3,0,172,6,3/15,28.66,6.74,25.5,0,0,11,0
AA Jhunjhunwala,13,5,6.1,0,69,0,-,-,11.18,-,0,0,4,0
M Kaif,16,-,-,-,-,-,-,-,-,-,-,-,8,0
Kamran Akmal,6,-,-,-,-,-,-,-,-,-,-,-,5,4
Kamran Khan,8,8,23.4,0,177,9,3/18,19.66,7.47,15.7,0,0,4,0
H Klaasen,4,-,-,-,-,-,-,-,-,-,-,-,3,4
T Kohli,2,-,-,-,-,-,-,-,-,-,-,-,1,0
DS Kulkarni,27,27,81.5,2,686,23,2/9,29.82,8.38,21.3,0,0,8,0
B Laughlin,7,7,20.5,0,211,9,2/15,23.44,10.12,13.8,0,0,1,0
DS Lehmann,2,-,-,-,-,-,-,-,-,-,-,-,0,0
MK Lomror,2,2,3,0,27,0,-,-,9,-,0,0,0,0
MJ Lumb,11,-,-,-,-,-,-,-,-,-,-,-,4,0
VS Malik,4,4,13,0,88,3,2/14,29.33,6.76,26,0,0,1,0
DR Martyn,1,-,-,-,-,-,-,-,-,-,-,-,0,0
AD Mascarenhas,8,8,31.2,1,226,12,3/20,18.83,7.21,15.6,0,0,1,0
AL Menaria,29,12,18.2,0,144,3,2/20,48,7.85,36.6,0,0,5,0
M Morkel,4,4,14,0,106,0,-,-,7.57,-,0,0,2,0
CH Morris,11,11,42,0,311,13,4/23,23.92,7.4,19.3,1,0,3,0
KK Nair,25,-,-,-,-,-,-,-,-,-,-,-,7,0
S Narwal,5,5,15.4,0,185,5,3/36,37,11.8,18.8,0,0,1,0
AM Nayar,5,-,-,-,-,-,-,-,-,-,-,-,1,0
NV Ojha,22,-,-,-,-,-,-,-,-,-,-,-,6,6
JDP Oram,2,2,4,0,45,1,1/32,45,11.25,24,0,0,0,0
Pankaj Singh,12,12,35,0,322,7,2/18,46,9.2,30,0,0,1,0
MM Patel,30,30,102.5,2,779,33,3/17,23.6,7.57,18.6,0,0,7,0
NK Patel,9,-,-,-,-,-,-,-,-,-,-,-,6,0
YK Pathan,43,35,97.1,0,719,20,3/22,35.95,7.39,29.1,0,0,14,0
AG Paunikar,5,-,-,-,-,-,-,-,-,-,-,-,1,0
MDKJ Perera,2,-,-,-,-,-,-,-,-,-,-,-,0,0
RJ Quiney,7,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,86,-,-,-,-,-,-,-,-,-,-,-,35,0
AS Raut,22,5,5,0,44,0,-,-,8.8,-,0,0,9,0
M Rawat,16,-,-,-,-,-,-,-,-,-,-,-,15,1
KW Richardson,7,7,27,0,206,9,2/18,22.88,7.62,18,0,0,3,0
Sachin Baby,4,-,-,-,-,-,-,-,-,-,-,-,2,0
D Salunkhe,6,5,8,0,78,1,1/21,78,9.75,48,0,0,2,0
SV Samson,53,-,-,-,-,-,-,-,-,-,-,-,32,2
OA Shah,15,-,-,-,-,-,-,-,-,-,-,-,5,0
PR Shah,2,-,-,-,-,-,-,-,-,-,-,-,0,1
DJM Short,7,2,3,0,19,1,1/10,19,6.33,18,0,0,2,0
R Shukla,3,3,8,0,79,3,2/28,26.33,9.87,16,0,0,2,0
A Singh,23,23,78.5,1,620,28,4/19,22.14,7.86,16.8,1,0,1,0
GC Smith,25,-,-,-,-,-,-,-,-,-,-,-,6,0
SPD Smith,24,-,-,-,-,-,-,-,-,-,-,-,16,0
IS Sodhi,6,6,23,0,135,5,1/14,27,5.86,27.6,0,0,0,0
Sohail Tanvir,11,11,41.1,0,266,22,6/14,12.09,6.46,11.2,1,1,4,0
TG Southee,10,10,38,1,323,6,2/32,53.83,8.5,38,0,0,6,0
BB Sran,1,1,3,0,35,0,-,-,11.66,-,0,0,0,0
S Sreesanth,7,7,21.4,2,163,5,2/20,32.6,7.52,26,0,0,0,0
BA Stokes,13,12,37,1,303,8,3/15,37.87,8.18,27.7,0,0,6,0
SW Tait,21,21,78.5,1,640,23,3/13,27.82,8.11,20.5,0,0,6,0
PV Tambe,26,26,94,0,710,23,4/20,30.86,7.55,24.5,1,0,3,0
LRPL Taylor,12,1,1,0,11,0,-,-,11,-,0,0,4,0
R Tewatia,4,4,12,0,90,3,1/17,30,7.5,24,0,0,0,0
J Theron,1,1,4,0,40,1,1/40,40,10,24,0,0,0,0
RA Tripathi,12,-,-,-,-,-,-,-,-,-,-,-,4,0
SK Trivedi,76,75,251,2,1904,65,4/25,29.29,7.58,23.1,1,0,14,0
JD Unadkat,15,15,50.2,0,486,11,3/46,44.18,9.65,27.4,0,0,6,0
A Uniyal,2,2,6,0,66,2,2/41,33,11,18,0,0,0,0
PC Valthaty,2,-,-,-,-,-,-,-,-,-,-,-,0,0
AC Voges,9,7,9,0,76,0,-,-,8.44,-,0,0,1,0
SB Wagh,1,1,1,0,16,1,1/16,16,16,6,0,0,0,0
SK Warne,55,54,199,1,1447,57,4/21,25.38,7.27,20.9,1,0,16,0
SR Watson,78,70,226.5,3,1701,61,3/10,27.88,7.49,22.3,0,0,21,0
DH Yagnik,25,-,-,-,-,-,-,-,-,-,-,-,12,5
Younis Khan,1,-,-,-,-,-,-,-,-,-,-,-,1,0
S Ladda,5,5,15,0,143,4,2/44,35.75,9.53,22.5,0,0,0,0
AR Bawne,1,-,-,-,-,-,-,-,-,-,-,-,0,0
VR Aaron,12,11,43,0,353,10,2/19,35.3,8.2,25.8,0,0,1,0
Abhishek Sharma,3,-,-,-,-,-,-,-,-,-,-,-,1,0
AB Agarkar,15,15,51.2,0,457,11,2/23,41.54,8.9,28,0,0,3,0
MA Agarwal,21,-,-,-,-,-,-,-,-,-,-,-,4,0
CJ Anderson,11,8,18.5,0,186,3,1/23,62,9.87,37.6,0,0,5,0
Avesh Khan,6,6,19,0,204,4,2/29,51,10.73,28.5,0,0,3,0
R Bhatia,22,21,59.4,0,461,19,4/15,24.26,7.72,18.8,1,0,6,0
SW Billings,11,-,-,-,-,-,-,-,-,-,-,-,7,0
TR Birt,5,-,-,-,-,-,-,-,-,-,-,-,0,0
J Botha,6,6,16.4,0,109,5,2/11,21.8,6.54,20,0,0,5,0
TA Boult,14,14,52.4,1,466,18,2/20,25.88,8.84,17.5,0,0,9,0
DAJ Bracewell,1,1,4,0,32,3,3/32,10.66,8,8,0,0,1,0
CR Brathwaite,10,10,29.1,0,256,8,3/47,32,8.77,21.8,0,0,3,0
UBT Chand,13,-,-,-,-,-,-,-,-,-,-,-,5,0
B Chipli,1,-,-,-,-,-,-,-,-,-,-,-,0,0
DT Christian,4,4,11.5,0,101,4,2/35,25.25,8.53,17.7,0,0,0,0
PD Collingwood,8,6,14.5,0,101,5,2/19,20.2,6.8,17.8,0,0,4,0
NM Coulter-Nile,17,16,61.3,1,462,20,4/20,23.1,7.51,18.4,1,0,5,0
PJ Cummins,12,12,46.1,0,373,15,2/20,24.86,8.07,18.4,0,0,1,0
CJ Dala,1,1,3,0,34,0,-,-,11.33,-,0,0,0,0
Q de Kock,23,-,-,-,-,-,-,-,-,-,-,-,4,2
AB de Villiers,28,-,-,-,-,-,-,-,-,-,-,-,22,0
S Dhawan,14,-,-,-,-,-,-,-,-,-,-,-,8,0
TM Dilshan,27,13,25.1,0,171,4,1/3,42.75,6.79,37.7,0,0,13,0
AB Dinda,6,5,17,0,152,5,2/42,30.4,8.94,20.4,0,0,0,0
JP Duminy,38,25,57,0,421,13,4/17,32.38,7.38,26.3,1,0,13,0
AJ Finch,8,1,2,0,13,0,-,-,6.5,-,0,0,4,0
G Gambhir,46,-,-,-,-,-,-,-,-,-,-,-,8,0
CM Gautam,4,-,-,-,-,-,-,-,-,-,-,-,0,1
B Geeves,2,2,8,0,91,1,1/50,91,11.37,48,0,0,3,0
Sunny Gupta,1,1,3,0,47,0,-,-,15.66,-,0,0,0,0
MC Henriques,1,1,4,0,35,1,1/35,35,8.75,24,0,0,1,0
JR Hopes,10,9,32,0,272,7,1/25,38.85,8.5,27.4,0,0,3,0
Imran Tahir,20,20,72.2,0,623,29,4/28,21.48,8.61,14.9,1,0,3,0
CA Ingram,3,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Iyer,46,-,-,-,-,-,-,-,-,-,-,-,14,0
KM Jadhav,41,-,-,-,-,-,-,-,-,-,-,-,13,4
DPMD Jayawardene,31,-,-,-,-,-,-,-,-,-,-,-,10,0
MC Juneja,7,-,-,-,-,-,-,-,-,-,-,-,0,0
KD Karthik,56,-,-,-,-,-,-,-,-,-,-,-,31,15
S Kaul,11,11,34.5,2,296,6,2/27,49.33,8.49,34.8,0,0,1,0
Z Khan,30,30,108,2,806,27,3/20,29.85,7.46,24,0,0,4,0
S Lamichhane,3,3,12,0,82,5,3/36,16.4,6.83,14.4,0,0,0,0
AB McDonald,6,6,19,0,183,5,2/37,36.6,9.63,22.8,0,0,0,0
GD McGrath,14,14,54,2,357,12,4/29,29.75,6.61,27,1,0,2,0
MF Maharoof,20,20,70,0,520,27,3/34,19.25,7.42,15.5,0,0,4,0
VY Mahesh,13,13,47.1,0,418,18,4/36,23.22,8.86,15.7,1,0,5,0
M Manhas,20,-,-,-,-,-,-,-,-,-,-,-,8,0
AD Mathews,14,12,35,0,302,7,2/15,43.14,8.62,30,0,0,7,0
GJ Maxwell,14,12,19,0,154,6,2/22,25.66,8.1,19,0,0,4,0
BMAJ Mendis,3,2,5,0,36,1,1/16,36,7.2,30,0,0,2,0
A Mishra,81,81,277,3,2056,86,5/17,23.9,7.42,19.3,1,1,14,0
Mohammad Asif,8,8,32,0,296,8,2/19,37,9.25,24,0,0,1,0
Mohammed Shami,32,32,109,0,1000,20,2/34,50,9.17,32.7,0,0,3,0
JA Morkel,4,4,12,0,109,3,2/21,36.33,9.08,24,0,0,1,0
M Morkel,37,37,146,1,1113,45,4/20,24.73,7.62,19.4,1,0,2,0
CH Morris,25,25,89,0,691,28,4/26,24.67,7.76,19,1,0,15,0
C Munro,5,-,-,-,-,-,-,-,-,-,-,-,2,0
DJ Muthuswami,6,6,14,0,101,4,2/18,25.25,7.21,21,0,0,0,0
S Nadeem,61,59,200.5,2,1480,40,3/16,37,7.36,30.1,0,0,14,0
Y Nagar,26,8,11,0,125,4,2/20,31.25,11.36,16.5,0,0,6,0
KK Nair,28,-,-,-,-,-,-,-,-,-,-,-,5,0
DP Nannes,22,22,83.4,0,596,22,3/27,27.09,7.12,22.8,0,0,5,0
JDS Neesham,4,4,9,0,91,1,1/29,91,10.11,54,0,0,0,0
P Negi,17,12,35,0,264,8,4/18,33,7.54,26.2,1,0,4,0
A Nehra,27,27,101,1,758,36,3/26,21.05,7.5,16.8,0,0,6,0
NV Ojha,35,-,-,-,-,-,-,-,-,-,-,-,23,2
RR Pant,38,-,-,-,-,-,-,-,-,-,-,-,15,5
WD Parnell,8,8,30.1,0,223,6,2/21,37.16,7.39,30.1,0,0,2,0
HV Patel,5,5,17.3,0,167,7,3/28,23.85,9.54,15,0,0,0,0
IK Pathan,46,45,157.1,7,1191,29,3/28,41.06,7.57,32.5,0,0,16,0
KP Pietersen,19,3,6,0,53,0,-,-,8.83,-,0,0,5,0
LE Plunkett,7,7,25,0,225,4,3/17,56.25,9,37.5,0,0,2,0
K Rabada,6,6,21.2,0,188,6,2/20,31.33,8.81,21.3,0,0,0,0
BJ Rohrer,8,1,1,0,12,0,-,-,12,-,0,0,3,0
JJ Roy,5,-,-,-,-,-,-,-,-,-,-,-,4,0
AD Russell,7,7,23,0,229,1,1/51,229,9.95,138,0,0,1,0
AM Salvi,7,7,25,0,200,7,2/19,28.57,8,21.4,0,0,2,0
SV Samson,28,-,-,-,-,-,-,-,-,-,-,-,7,1
MN Samuels,5,2,3,0,34,0,-,-,11.33,-,0,0,1,0
GS Sandhu,3,2,8,0,82,1,1/33,82,10.25,48,0,0,0,0
PJ Sangwan,28,28,101.4,1,833,29,3/18,28.72,8.19,21,0,0,5,0
V Sehwag,79,15,22.4,0,235,6,2/18,39.16,10.36,22.6,0,0,29,0
V Shankar,13,4,5,0,58,1,1/22,58,11.6,30,0,0,6,0
R Sharma,2,2,6,0,65,1,1/33,65,10.83,36,0,0,0,0
PP Shaw,9,-,-,-,-,-,-,-,-,-,-,-,4,0
Shoaib Malik,7,5,8.3,0,85,2,1/6,42.5,10,25.5,0,0,5,0
LR Shukla,5,5,9.2,0,83,1,1/31,83,8.89,56,0,0,1,0
R Shukla,3,3,9,0,98,2,1/13,49,10.88,27,0,0,1,0
S Sriram,1,1,1,0,25,0,-,-,25,-,0,0,0,0
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,0,0
LRPL Taylor,16,-,-,-,-,-,-,-,-,-,-,-,5,0
R Tewatia,8,8,22,0,173,6,3/18,28.83,7.86,22,0,0,2,0
MK Tiwary,24,2,3,0,39,0,-,-,13,-,0,0,6,0
SS Tiwary,7,-,-,-,-,-,-,-,-,-,-,-,5,0
JD Unadkat,10,10,34.1,0,300,9,3/32,33.33,8.78,22.7,0,0,0,0
RE van der Merwe,10,10,35.5,1,223,10,3/20,22.3,6.22,21.5,0,0,3,0
Y Venugopal Rao,25,4,4,0,52,0,-,-,13,-,0,0,4,0
DL Vettori,12,12,42.5,0,332,11,3/15,30.18,7.75,23.3,0,0,4,0
M Vijay,11,1,1,0,13,0,-,-,13,-,0,0,8,0
MS Wade,3,-,-,-,-,-,-,-,-,-,-,-,0,0
DA Warner,55,-,-,-,-,-,-,-,-,-,-,-,22,0
J Yadav,10,10,30,0,196,4,1/8,49,6.53,45,0,0,2,0
UT Yadav,47,46,160.5,2,1314,43,4/24,30.55,8.16,22.4,1,0,11,0
Yuvraj Singh,14,6,9,0,72,1,1/14,72,8,54,0,0,2,0
S Ladda,3,3,6,0,60,1,1/18,60,10,36,0,0,1,0
AB Agarkar,27,27,79,0,694,18,3/25,38.55,8.78,26.3,0,0,2,0
Anureet Singh,3,2,5,0,47,2,2/35,23.5,9.4,15,0,0,0,0
Azhar Mahmood,1,1,3,0,41,0,-,-,13.66,-,0,0,0,0
L Balaji,35,35,124.3,2,920,33,4/18,27.87,7.38,22.6,1,0,6,0
SB Bangar,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Bhatia,46,43,129,0,931,32,3/22,29.09,7.21,24.1,0,0,10,0
MS Bisla,27,-,-,-,-,-,-,-,-,-,-,-,15,7
SE Bond,8,8,31,1,224,9,2/24,24.88,7.22,20.6,0,0,1,0
J Botha,4,4,10,0,81,1,1/32,81,8.1,60,0,0,4,0
MV Boucher,4,-,-,-,-,-,-,-,-,-,-,-,1,0
TA Boult,6,6,23.5,0,216,5,2/30,43.2,9.06,28.6,0,0,0,0
DM Bravo,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KC Cariappa,1,1,2,0,28,1,1/28,28,14,12,0,0,0,0
PP Chawla,57,56,178.5,0,1436,56,4/32,25.64,8.02,19.1,1,0,13,0
A Chopra,7,-,-,-,-,-,-,-,-,-,-,-,2,0
NM Coulter-Nile,8,8,28.2,0,228,15,3/20,15.2,8.04,11.3,0,0,2,0
PJ Cummins,4,4,14,1,126,2,1/29,63,9,42,0,0,1,0
TK Curran,5,5,10.1,0,118,6,2/19,19.66,11.6,10.1,0,0,1,0
DB Das,31,-,-,-,-,-,-,-,-,-,-,-,7,0
C de Grandhomme,12,9,16,0,135,4,3/4,33.75,8.43,24,0,0,2,0
M de Lange,3,3,10,0,107,3,3/34,35.66,10.7,20,0,0,0,0
AB Dinda,29,27,86.1,0,605,22,3/33,27.5,7.02,23.5,0,0,2,0
P Dogra,1,-,-,-,-,-,-,-,-,-,-,-,1,0
G Gambhir,108,-,-,-,-,-,-,-,-,-,-,-,20,0
SC Ganguly,40,16,36,0,268,8,2/21,33.5,7.44,27,0,0,15,0
RS Gavaskar,2,1,1,0,8,0,-,-,8,-,0,0,0,0
CH Gayle,16,13,34.5,0,296,5,1/9,59.2,8.49,41.8,0,0,7,0
AN Ghosh,2,-,-,-,-,-,-,-,-,-,-,-,1,0
SP Goswami,5,-,-,-,-,-,-,-,-,-,-,-,4,1
BJ Haddin,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Harpreet Singh,1,-,-,-,-,-,-,-,-,-,-,-,0,0
JW Hastings,2,2,6.4,1,37,2,2/6,18.5,5.55,20,0,0,0,0
MC Henriques,4,4,12.1,0,107,2,1/32,53.5,8.79,36.5,0,0,3,0
BJ Hodge,19,13,25,0,202,9,3/29,22.44,8.08,16.6,0,0,6,0
GB Hogg,11,11,37,1,286,13,4/29,22,7.72,17,1,0,3,0
JO Holder,4,4,13,0,103,2,2/33,51.5,7.92,39,0,0,0,0
DJ Hussey,23,13,27,0,244,2,1/23,122,9.03,81,0,0,10,0
Iqbal Abdulla,33,32,102.2,0,674,28,3/24,24.07,6.58,21.9,0,0,8,0
SP Jackson,4,-,-,-,-,-,-,-,-,-,-,-,2,0
IR Jaggi,2,-,-,-,-,-,-,-,-,-,-,-,0,0
MG Johnson,6,6,21,0,216,2,1/30,108,10.28,63,0,0,2,0
JH Kallis,56,48,153,1,1153,42,3/13,27.45,7.53,21.8,0,0,16,0
KD Karthik,16,-,-,-,-,-,-,-,-,-,-,-,14,4
M Kartik,26,25,87.4,0,581,16,3/17,36.31,6.62,32.8,0,0,10,0
Kuldeep Yadav,31,30,104.2,0,858,35,4/20,24.51,8.22,17.8,1,0,8,0
CK Langeveldt,4,4,15,0,103,8,3/15,12.87,6.86,11.2,0,0,0,0
B Lee,25,25,95.2,2,723,16,2/26,45.18,7.58,35.7,0,0,4,0
CA Lynn,27,-,-,-,-,-,-,-,-,-,-,-,8,0
BB McCullum,35,-,-,-,-,-,-,-,-,-,-,-,18,6
R McLaren,2,2,7,0,94,3,2/60,31.33,13.42,14,0,0,1,0
Mandeep Singh,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Mashrafe Mortaza,1,1,4,0,58,0,-,-,14.5,-,0,0,0,0
AD Mathews,15,13,39.5,0,345,8,4/19,43.12,8.66,29.8,1,0,4,0
BAW Mendis,7,7,28,0,207,6,2/19,34.5,7.39,28,0,0,2,0
Mohammad Hafeez,8,4,10,0,68,2,1/8,34,6.8,30,0,0,1,0
Mohammed Shami,3,3,9,0,78,1,1/32,78,8.66,54,0,0,0,0
EJG Morgan,26,-,-,-,-,-,-,-,-,-,-,-,9,0
M Morkel,29,29,111.3,2,870,32,2/18,27.18,7.8,20.9,0,0,7,0
C Munro,4,2,2,0,15,0,-,-,7.5,-,0,0,2,0
SP Narine,98,97,381.5,2,2498,112,5/19,22.3,6.54,20.4,6,1,17,0
S Narwal,2,1,2,0,17,0,-,-,8.5,-,0,0,0,0
MK Pandey,55,-,-,-,-,-,-,-,-,-,-,-,23,0
MB Parmar,1,1,3,0,33,0,-,-,11,-,0,0,0,0
YK Pathan,106,45,91,1,674,21,3/20,32.09,7.4,26,0,0,25,0
RT Ponting,4,-,-,-,-,-,-,-,-,-,-,-,2,0
M Prasidh Krishna,7,7,28,0,260,10,4/30,26,9.28,16.8,1,0,1,0
CA Pujara,10,-,-,-,-,-,-,-,-,-,-,-,2,0
AS Rajpoot,9,9,25,0,205,7,3/37,29.28,8.2,21.4,0,0,1,0
N Rana,15,5,6.1,0,44,4,2/11,11,7.13,9.2,0,0,2,0
AD Russell,43,42,120,0,1022,43,4/20,23.76,8.51,16.7,1,0,16,0
WP Saha,33,-,-,-,-,-,-,-,-,-,-,-,13,5
Salman Butt,7,-,-,-,-,-,-,-,-,-,-,-,2,0
PJ Sangwan,3,3,8,0,93,1,1/42,93,11.62,48,0,0,0,0
SS Sarkar,2,2,4.1,0,34,1,1/15,34,8.16,25,0,0,0,0
R Sathish,4,3,6,0,59,1,1/20,59,9.83,36,0,0,0,0
JPR Scantlebury-Searles,4,3,7,0,89,2,1/24,44.5,12.71,21,0,0,4,0
SMSM Senanayake,8,8,32,1,209,9,2/26,23.22,6.53,21.3,0,0,2,0
OA Shah,5,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Shaikh,2,-,-,-,-,-,-,-,-,-,-,-,2,0
Shakib Al Hasan,43,42,153.3,1,1101,43,3/17,25.6,7.17,21.4,0,0,8,0
I Sharma,31,31,110.1,1,862,25,2/15,34.48,7.82,26.4,0,0,4,0
Shivam Mavi,9,9,28,0,270,5,1/14,54,9.64,33.6,0,0,3,0
Shoaib Akhtar,3,3,7,0,54,5,4/11,10.8,7.71,8.4,1,0,0,0
Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,3,0
LR Shukla,42,22,43,0,364,14,3/6,26,8.46,18.4,0,0,13,0
RK Singh,4,-,-,-,-,-,-,-,-,-,-,-,4,0
T Taibu,3,-,-,-,-,-,-,-,-,-,-,-,1,0
RN ten Doeschate,29,10,13,0,94,2,1/7,47,7.23,39,0,0,8,0
MK Tiwary,54,3,3,0,34,1,1/11,34,11.33,18,0,0,30,0
Umar Gul,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0,0,0
JD Unadkat,12,11,34.2,0,316,10,3/26,31.6,9.2,20.6,0,0,3,0
RV Uthappa,74,-,-,-,-,-,-,-,-,-,-,-,32,22
MN van Wyk,5,-,-,-,-,-,-,-,-,-,-,-,7,0
R Vinay Kumar,11,11,35.5,0,346,9,2/26,38.44,9.65,23.8,0,0,3,0
CR Woakes,13,13,44,0,386,17,3/6,22.7,8.77,15.5,0,0,6,0
SA Yadav,54,1,1,0,8,0,-,-,8,-,0,0,25,0
UT Yadav,47,47,161.3,0,1393,48,4/33,29.02,8.62,20.1,1,0,12,0
Yashpal Singh,8,-,-,-,-,-,-,-,-,-,-,-,3,0
KK Ahmed,1,1,3,0,38,0,-,-,12.66,-,0,0,0,0
Anand Rajan,2,2,8,0,42,2,1/20,21,5.25,24,0,0,1,0
S Anirudha,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Ankit Sharma,1,1,2,0,17,0,-,-,8.5,-,0,0,1,0
A Ashish Reddy,22,11,16.3,0,159,7,1/7,22.71,9.63,14.1,0,0,9,0
Basil Thampi,4,4,10.1,0,114,5,2/4,22.8,11.21,12.2,0,0,2,0
RK Bhui,1,-,-,-,-,-,-,-,-,-,-,-,0,0
Bipul Sharma,18,16,37.2,0,300,9,2/13,33.33,8.03,24.8,0,0,3,0
RS Bopara,9,7,20,0,160,6,2/18,26.66,8,20,0,0,2,0
TA Boult,8,8,32,0,275,10,3/19,27.5,8.59,19.2,0,0,3,0
CR Brathwaite,4,4,10.1,0,94,5,2/15,18.8,9.24,12.2,0,0,2,0
BCJ Cutting,8,8,23.5,0,203,6,2/20,33.83,8.51,23.8,0,0,2,0
Q de Kock,3,-,-,-,-,-,-,-,-,-,-,-,3,1
S Dhawan,85,-,-,-,-,-,-,-,-,-,-,-,38,0
AJ Finch,13,-,-,-,-,-,-,-,-,-,-,-,6,0
SP Goswami,6,-,-,-,-,-,-,-,-,-,-,-,5,0
AD Hales,6,-,-,-,-,-,-,-,-,-,-,-,2,0
MC Henriques,42,42,111,0,917,28,3/16,32.75,8.26,23.7,0,0,18,0
JO Holder,1,1,3,0,35,1,1/35,35,11.66,18,0,0,2,0
