player_name,runs_conceded,wickets_taken,overs_bowled
S Tyagi,295,6,34.5
S Vidyut,22,1,2.0
SA Abbott,57,0,5.0
SA Yadav,8,0,1.0
SB Bangar,219,4,25.0
SB Jakati,1451,47,180.5
SB Joshi,82,1,9.1
SB Styris,276,8,36.0
SB Wagh,137,5,17.0
SC Ganguly,363,10,46.0
SD Chitnis,60,2,6.0
SE Bond,224,9,31.0
SJ Srivastava,441,14,47.0
SK Raina,1112,25,150.2
SK Trivedi,1904,65,251.0
SK Warne,1447,57,199.0
SL Malinga,2928,154,426.2
SM Boland,54,2,7.0
SM Harwood,73,3,10.0
SM Pollock,301,11,46.0
SMSM Senanayake,209,9,32.0
SN Thakur,784,28,87.5
SP Narine,2498,112,381.5
SPD Smith,5,0,0.2
SR Tendulkar,58,0,6.0
SR Watson,2682,92,337.7
SS Agarwal,42,1,4.0
SS Mundhe,6,1,1.0
SS Sarkar,34,1,4.1
ST Jayasuriya,390,13,49.0
STR Binny,714,21,92.0
SW Tait,640,23,78.5
Sachin Baby,8,2,1.4
Sandeep Sharma,1920,83,248.1
Shahid Afridi,225,9,30.0
Shakib Al Hasan,1557,57,210.3
Shivam Mavi,270,5,28.0
Shivam Sharma,165,4,19.0
Shoaib Ahmed,152,5,17.0
Shoaib Akhtar,54,5,7.0
Shoaib Malik,85,2,8.3
Sohail Tanvir,266,22,41.1
Sunny Gupta,47,0,3.0
Swapnil Singh,90,1,10.0
T Henderson,40,1,6.0
T Natarajan,115,2,12.4
T Shamsi,147,3,16.0
T Thushara,161,8,22.3
TA Boult,957,33,107.9
TG Southee,1175,27,139.0
TK Curran,118,6,10.1
TL Suman,197,6,25.0
TM Dilshan,366,5,45.1
TM Head,81,2,8.0
TP Sudhindra,136,1,11.4
TS Mills,153,5,17.5
Tejas Baroka,33,0,3.3
UT Yadav,3125,111,374.90000000000003
Umar Gul,184,12,22.3
V Kohli,368,4,41.5
V Pratap Singh,296,10,34.0
V Sehwag,235,6,22.4
V Shankar,77,1,6.0
VR Aaron,1219,38,140.4
VRV Singh,542,12,60.0
VS Malik,261,6,34.1
VS Yeligati,59,0,5.0
VY Mahesh,499,21,56.3
WA Mota,97,4,12.0
WD Parnell,701,26,95.19999999999999
WPUJC Vaas,355,18,47.0
Washington Sundar,377,12,50.0
Y Gnaneswara Rao,7,0,1.0
Y Nagar,125,4,11.0
Y Venugopal Rao,337,6,36.0
YA Abdulla,307,15,34.5
YK Pathan,1407,42,190.1
YS Chahal,1932,82,248.3
Yuvraj Singh,1077,36,144.5
Z Khan,2782,102,366.4
